,decibel
44510,34.96567833717441
44511,34.51733867539977
44512,34.24655587199685
44513,33.65873591625693
44514,32.664199871387034
44515,31.81805838136416
44516,31.468786587288644
44517,31.166350092402297
44518,30.690589235450396
44519,30.699836101761452
44520,31.761439741757282
44521,34.07712626022377
44522,37.95774342242356
44523,44.32799093247218
44524,60.18906755260179
44525,49.50977337134187
44526,42.4539208183021
44527,39.277806163737225
44528,38.08463049608081
44529,37.44936584122612
44530,36.43332090502247
44531,35.183882388210975
44532,34.0768366988552
44533,33.658482339689726
44534,34.694949441703486
44535,37.44855659056456
44536,42.00946749550734
44537,51.45171238401804
44538,55.9489633424954
44539,47.85424217416919
44540,43.86372657967481
44541,39.51470784835721
44542,36.37278168921822
44543,34.92883813468321
44544,34.61623131395357
44545,34.94363521379179
44546,35.92197755468477
44547,37.01597606894298
44548,36.79312259973407
44549,35.46217877222395
44550,34.60952157745672
44551,34.88390012170582
44552,35.774393370019425
44553,36.14857969824889
44554,35.36070694874796
44555,33.582368729881914
44556,31.488434610599
44557,29.823312538044537
44558,28.852881759718983
44559,28.384706992266256
44560,28.164703881251736
44561,28.093822223101892
44562,28.219213526431822
44563,28.624551295666
44564,29.178470655935165
44565,29.55244530906974
44566,29.560465085013657
44567,29.433864206575784
44568,29.347879544580998
44569,29.151807150167272
44570,28.743487500327486
44571,28.18858165006929
44572,27.718417840448595
44573,27.711974309824523
44574,28.43005788161909
44575,29.733507218204196
44576,31.185630089687095
44577,32.56791113817522
44578,34.097604735722314
44579,36.04755555314196
44580,38.54321027203995
44581,40.942052090951215
44582,41.075910747237614
44583,38.53164303863363
44584,35.44661429935769
44585,32.83077269289944
44586,31.02378561553721
44587,30.370013729286732
44588,30.9158108796986
44589,32.46709950708552
44590,35.34489195596769
44591,41.30314283269474
44592,66.95441969230052
44593,41.287963079327696
44594,36.41682382311463
44595,34.13101957017007
44596,32.92433258120772
44597,32.31797558406909
44598,32.18768613071512
44599,32.28526769383497
44600,32.05911188122994
44601,31.26768554157314
44602,30.25702191965093
44603,29.121510083947392
44604,27.660602147197658
44605,26.099932655602256
44606,24.893090823792665
44607,24.150515160685572
44608,23.735280249740423
44609,23.619922745332044
44610,23.80689515259077
44611,24.199789423300032
44612,24.604582188544157
44613,24.713371675802662
44614,24.450588198991085
44615,24.19337142514308
44616,24.2127062249739
44617,24.404253575611158
44618,24.57762140691466
44619,24.622633061862132
44620,24.55967999196013
44621,24.541770956207728
44622,24.697431291832835
44623,24.953808739529627
44624,25.11473226305948
44625,25.174638453554085
44626,25.307893505211013
44627,25.65669568887455
44628,26.44641928874805
44629,27.848302559176034
44630,29.596379107573803
44631,31.27728188962182
44632,33.00083287958471
44633,35.176063415644556
44634,37.85420515743784
44635,40.607832214783734
44636,42.88756281355141
44637,45.17675608944266
44638,49.59809883645082
44639,63.09501494397931
44640,55.00828301082058
44641,45.87754275212342
44642,39.365737632437785
44643,35.10049667108217
44644,32.704042562565924
44645,31.166429454781266
44646,29.802865933104762
44647,28.542725881045705
44648,27.498837838430767
44649,26.830711415754898
44650,26.626524173984865
44651,26.732335875517343
44652,26.980394404315597
44653,27.343097006385957
44654,27.91728069608373
44655,28.74710356680183
44656,29.465334623248438
44657,29.802865933104762
44658,30.141253052311697
44659,30.659050138367316
44660,31.14709209938898
44661,31.65949969761476
44662,32.345406559352405
44663,33.332869825720714
44664,35.283362008120726
44665,39.61555579954015
44666,52.03272165152002
44667,46.41654024505446
44668,39.56520502591589
44669,37.01607780083912
44670,36.67512615651107
44671,37.79245835114159
44672,38.75840289643114
44673,38.106282981650835
44674,36.66607840046659
44675,36.14904627572681
44676,36.959919556137905
44677,38.03205942322423
44678,38.454356287610665
44679,38.94493249448735
44680,40.39806761870548
44681,42.68652814665789
44682,46.012121738240396
44683,54.88074442960256
44684,54.815900109999376
44685,48.130870392968525
44686,48.978562117983664
44687,58.46208439101837
44688,53.21248372451974
44689,45.49672291920115
44690,42.77738288786985
44691,42.10974449248759
44692,42.90454277573667
44693,44.2882902136514
44694,44.158656408346815
44695,41.99270015255699
44696,39.653761727092075
44697,38.095769348081504
44698,37.09168913911697
44699,36.57597913130496
44700,36.73861203099981
44701,37.40993338634829
44702,38.032136551832494
44703,37.73085749142766
44704,36.047262532746124
44705,34.13128135199812
44706,32.98324387837714
44707,32.47824954574307
44708,32.11787152760958
44709,31.802732366221992
44710,31.741081654060082
44711,32.05390666387242
44712,32.71560702788091
44713,33.71643214659757
44714,34.98817830265528
44715,36.37309751741937
44716,37.5388463560878
44717,37.82313626064332
44718,36.765868225074854
44719,34.899169421170186
44720,33.57613027332463
44721,33.7228851153793
