,decibel
418,-86.74557865302395
419,-80.81937235463249
420,-83.13095221149581
421,-83.68052035159923
422,-78.15616736703366
423,-74.8220474338745
424,-81.86859884693624
425,-75.51504693116206
426,-79.24252440256132
427,-89.40486129719164
428,-85.73069829128157
429,-79.74535161122172
430,-80.6997720874574
431,-71.3103468187589
432,-83.05213610032509
433,-78.18928895679194
434,-94.7399990488334
435,-72.2001350143803
436,-77.90387264107737
437,-84.91348062218188
438,-78.9445709790439
439,-78.513767358795
440,-73.96058568347462
441,-85.87242638680192
442,-93.03051685076511
443,-71.98011743464795
444,-69.86762848851399
445,-80.15018539989264
446,-77.74352305529641
447,-82.85812867477547
448,-80.48532797333814
449,-77.42988146974314
450,-93.86759355274015
451,-82.59232256804127
452,-83.488647345623
453,-79.31263458176528
454,-91.04431771689455
455,-75.49028866188264
456,-69.98787134509466
457,-73.87397524775152
458,-70.14752529354313
459,-73.03155211722759
460,-76.29815091928194
461,-77.25390653028641
462,-80.45735801862435
463,-78.23094768550209
464,-86.29798279443791
465,-79.28377645873275
466,-106.19202579502739
467,-85.94729887879062
468,-110.97884541931217
469,-78.27126126214938
470,-89.60752992181627
471,-73.41550053515044
472,-75.59784919757915
473,-76.79215693113095
474,-72.59328424674963
475,-70.27118755300796
476,-84.74964094091297
477,-76.67225481657172
478,-79.71244513415962
479,-84.1650453322155
480,-85.88787164750826
481,-75.19312863358319
482,-66.47993374861672
483,-69.31431370727938
484,-72.67438523632997
485,-76.22629385081191
486,-78.9994352239825
487,-75.05982331044501
488,-93.46304269360013
489,-90.98561164553067
490,-82.42188772164022
491,-77.55902669223968
492,-73.70240255494507
493,-76.83103416150357
494,-75.43606654398879
495,-70.75712698124423
496,-83.6771522536051
497,-94.81652592273662
498,-84.00148909113608
499,-73.73123880951596
500,-73.94121246210743
501,-71.29472402231565
502,-94.20524869740487
503,-89.8958588513225
504,-80.49630757952687
505,-71.40286542859519
506,-69.64201863225645
507,-71.61400408561278
508,-104.55801488651852
509,-79.6185803617726
510,-72.55240285302692
511,-86.70923584973026
512,-106.63512629192999
513,-71.38729915443338
514,-72.57038848829743
515,-73.79655721798142
516,-83.3298186804328
517,-84.9223507232596
518,-82.4987589608517
519,-72.03500487796437
520,-88.89663291839156
521,-76.93395670729801
522,-86.77198184630612
523,-69.11943016435868
524,-78.91514921945142
525,-89.28479818962273
526,-69.87679109831616
527,-75.84819934092718
528,-82.95513080927785
529,-83.7323417163534
530,-73.57186324136046
531,-88.17486372714662
532,-71.71378948912168
533,-78.63770687730184
534,-72.98249716550212
535,-86.46915129750519
536,-78.42119575281191
537,-87.45880114649759
538,-87.60381539719462
539,-83.96972920612978
540,-84.18924559792687
541,-82.78810912490385
542,-75.49545280696563
543,-75.03172292724142
544,-76.28900313810048
545,-73.83771257921987
546,-74.49957818330338
547,-84.63858681318013
548,-85.42203540474439
549,-81.36557241612535
550,-84.73572955324919
551,-72.23904409191765
552,-75.03418504434676
553,-89.0889800137977
554,-77.61645765317064
555,-72.97288730505969
556,-79.4044766687949
557,-75.80728695261213
558,-73.40651549683218
559,-72.59479754106825
560,-72.60021544135672
561,-80.8301675691503
562,-73.04371265344132
563,-83.5480880868026
564,-81.72156472361465
565,-84.35021250964007
566,-77.80224775747931
567,-88.53955274905063
568,-78.67929940545294
569,-74.72874915523879
570,-70.06099539263066
571,-73.66954895301414
572,-83.6795141962004
573,-101.21747060138078
574,-84.78583234354544
575,-76.80069768359918
576,-88.3799897345539
577,-79.8361462752116
578,-88.53411482490296
579,-88.50400460912334
580,-87.57527395815129
581,-84.67641302105093
582,-91.19896930111929
583,-80.80502653900135
584,-81.47620299937259
585,-74.964023224187
586,-79.85790553419841
587,-83.27989391741792
588,-92.06398122164444
589,-98.90371605080253
590,-81.2151113030871
591,-76.99736965959106
592,-75.60279918239523
593,-81.06176392383679
594,-77.098580375005
595,-85.45723916914433
596,-83.65484782131526
597,-74.6339446850776
598,-72.25150297542199
599,-73.42311033964262
600,-72.67586283806264
601,-77.70740623651358
602,-80.15371571065134
603,-79.22216028335603
604,-93.90789454498719
605,-72.15769156623692
606,-80.75299355714935
607,-77.48795938848792
608,-79.81158535064579
609,-77.87024803406362
610,-80.86502170410184
611,-87.66325250881377
612,-78.42520948735093
613,-80.03039834952565
614,-80.51334431278171
615,-82.26384499508131
616,-80.66251688193034
617,-86.72761666710285
618,-87.36689387467344
619,-89.84349855776873
620,-72.28024347598355
621,-92.26501664317536
622,-81.90675424262069
623,-87.1253988501612
624,-83.51060885525197
625,-75.90109946587913
626,-96.86237826715629
627,-73.41210285919624
628,-77.95035212037055
629,-91.30649345804146
630,-87.99495864428623
631,-85.36437720032929
632,-80.35132864639871
633,-78.70876074615231
634,-75.29504792016911
635,-96.85227858027098
636,-90.4213950893231
637,-86.95034478190786
638,-78.93238026867535
639,-76.42233883450507
640,-77.51409533871724
641,-86.16105917851556
642,-74.32762305175143
643,-90.05862137559212
644,-89.08849607611116
645,-83.51521598939502
646,-80.74949296432536
647,-83.31782599539022
648,-83.62217424518848
649,-87.29576846187159
650,-91.19668736117572
651,-89.7825125832465
652,-78.21769371733608
653,-84.36846154161077
654,-82.83243774507909
655,-85.3424269755863
656,-80.39012229642356
657,-97.87531037700349
658,-73.54294738043305
659,-71.17004718169316
660,-75.30150131118288
661,-92.3512609656237
662,-75.5505324924864
663,-79.20774020683082
664,-83.56004101967994
665,-77.64924678271578
666,-87.84761809435274
667,-86.27638235852618
668,-82.73016054269716
669,-88.97194315915114
670,-81.36964663372723
671,-86.8711045733009
672,-83.22467770150972
673,-87.16041877792244
674,-77.6664430324104
675,-94.98671778783184
676,-88.112846049925
677,-84.04455464172605
678,-99.91590779051977
679,-89.90774155287838
680,-82.99056166585746
681,-80.18718050996873
682,-84.55738821944709
683,-85.65940717721037
684,-79.23138132493096
685,-83.58932454633273
686,-88.23135252971298
687,-101.01915925793182
688,-79.65031556298985
689,-82.87743315883549
690,-80.04970223966616
691,-83.86069067533546
692,-79.55754078121439
693,-89.24115381179308
694,-101.8982653897446
695,-78.73605208266547
696,-79.68717123116635
697,-79.94929541700812
698,-87.70552590986291
699,-80.39602016089233
700,-78.246914860602
701,-76.16830616554745
702,-87.47469919537377
703,-81.33771070889895
704,-85.66572897832792
705,-75.93958525754475
706,-86.10071759578204
707,-78.76467492797893
708,-91.77859263412506
709,-85.65448445203972
710,-85.54317309273745
711,-84.56328652940101
712,-88.43270192082777
713,-84.21556587938085
714,-98.63373374959008
715,-82.9748535335574
716,-90.89821186134085
717,-81.91753593299644
718,-89.97565036887104
719,-88.21879858675388
720,-83.402659640758
721,-79.35943969970155
722,-86.07226671127955
723,-81.18342686062238
724,-75.21404403102359
725,-85.17020245339478
726,-80.25436450201374
727,-88.43528779945727
728,-74.76881432237164
729,-83.35918048561878
730,-91.11633651282303
731,-96.46324367122544
732,-79.6353542500872
733,-96.75066167772925
734,-90.48748313279616
735,-83.45323513101934
736,-92.50730185610182
737,-86.81025437237827
738,-87.03009754711366
739,-91.1869624254885
740,-69.19416736467801
741,-78.94432974683072
742,-77.35906647006281
743,-72.12345868010927
744,-76.31123573429858
745,-85.18299052396696
746,-98.78542109361013
747,-90.02759383776092
748,-79.95600342636975
749,-89.47702329223964
750,-92.07166863128656
751,-87.07942487737628
752,-72.6324705624368
753,-67.97522038485775
754,-77.63856761313126
755,-85.15497044444754
756,-76.39326067256164
757,-87.27769014202586
758,-78.95051763316575
759,-77.58534630823809
760,-76.59271496891871
761,-79.86060246687202
762,-77.55907195621245
763,-77.50483958017395
764,-78.04631560543973
765,-96.03882248974449
766,-82.02553698425866
767,-83.07312136748084
768,-74.24270121379818
769,-79.75690340137355
770,-76.06293459929938
771,-80.05534595539046
772,-84.45003461695865
773,-76.184271524021
774,-82.01191373976401
775,-88.18113888189716
776,-83.93632839502432
777,-91.33225887020798
778,-81.66652142789175
779,-82.39958305486651
780,-89.91903299766292
781,-76.76401770690065
782,-76.58831137929893
783,-77.06549097432485
784,-87.56538700029458
785,-88.69982949196634
786,-88.08443067822837
787,-87.96690356276493
788,-93.24152354221283
789,-72.06276003479934
790,-76.09849911468763
791,-86.6154235868841
792,-76.82730186627325
793,-87.30961649346547
794,-81.13192324317916
795,-72.3138077229595
796,-84.15836832712569
797,-76.52640133059604
798,-80.88348977712643
799,-83.83438274931807
800,-84.63308449372938
801,-91.75481136479578
802,-91.06461118472342
803,-85.64466387528248
804,-86.9932333894308
805,-79.06669597512733
806,-85.73701775014749
807,-96.15204615665138
808,-88.39834346541784
809,-88.02738569533741
810,-80.06376761622626
811,-95.63072860968383
812,-79.48995781268316
813,-79.97827237755737
814,-80.70448827116577
815,-72.058294841845
816,-76.10964764354341
817,-77.57809687200495
818,-83.50650265952338
819,-78.68311536883985
820,-76.27467479008351
821,-72.73925863584044
822,-82.74169356223717
823,-74.15096701155049
824,-71.58863664640363
825,-76.9142943823424
826,-71.87787166577142
827,-77.02144706411373
828,-76.84310587143703
829,-75.13273329535585
830,-72.56836425260833
831,-79.49843008766143
832,-88.60613959014341
833,-73.43528464636199
834,-74.74990758588386
835,-88.96999882033728
836,-72.8283864137323
837,-81.15178322015366
838,-83.48091287376575
839,-90.82966080059292
840,-81.27594657762727
841,-83.01212143697836
842,-88.26191006367056
843,-80.79280632539763
844,-73.56519004411285
845,-83.42307103091927
846,-76.50464175008867
847,-77.57872169460553
848,-77.153054267994
849,-82.24168599926878
850,-72.37272380851637
851,-75.71539613115112
852,-77.72000203938634
853,-79.16930679715328
854,-81.50707701862666
855,-76.46745127544646
856,-72.18029637483711
857,-74.37967060838814
858,-90.38264551743067
859,-83.70166204555802
860,-71.20808256801683
861,-70.58753083612076
862,-82.53693420140874
863,-92.01338806015487
864,-90.89123660085903
865,-78.22186649000336
866,-79.76030934462887
867,-78.76810523408756
868,-95.01796102370344
869,-94.96259877191494
870,-98.33339926692018
871,-97.00506068617614
872,-97.99800962296253
873,-86.10294935745351
874,-83.02355657073744
875,-93.63402698003563
876,-95.28761132562843
877,-84.49223844956144
878,-95.37991333152924
879,-78.78696625497196
880,-96.73485088433134
881,-82.38018470381428
882,-78.21297057178283
883,-77.91303914382644
884,-71.74836097106522
885,-84.30369188361067
886,-82.01018899950817
887,-89.82860662466491
888,-81.48600919230861
889,-98.3372196475328
890,-91.76232308805362
891,-85.25229528244924
892,-88.62391933397022
893,-100.45772539541093
894,-90.23921802706175
895,-91.31950270544584
896,-78.6010006570181
897,-74.91802794581
898,-78.64020264190091
899,-93.45368299794104
900,-83.37571320212132
901,-71.88147285588376
902,-70.93221579415453
903,-72.44756915201351
904,-77.01818833213092
905,-74.30477272309005
906,-71.23621558230147
907,-74.48417421501374
908,-82.80512400114739
909,-86.34740314537011
910,-94.28695829636459
911,-75.06428998457724
912,-73.7085140360311
913,-80.23901957034391
914,-93.99839362052955
915,-77.6690540517524
916,-71.98047181540468
917,-70.69610776342394
918,-101.7837810028999
919,-83.21669447749704
920,-74.33030561425298
921,-83.80635194094273
922,-83.5905951737117
923,-88.65509172089085
924,-72.9373539796304
925,-72.00580699727584
926,-80.12398908403661
927,-86.47059737134003
928,-72.47994671538109
929,-71.87840699541458
930,-83.26876042283959
931,-98.7687534666283
932,-79.06308308943275
933,-92.52553718392437
934,-80.8502601012379
935,-86.8760942314521
936,-87.83208911209358
937,-82.8707802094201
938,-92.85272388812332
939,-77.4087682677688
940,-90.18993906395687
941,-93.00282805775825
942,-83.36385155098434
943,-89.52470571528836
944,-88.88440830053761
945,-104.64678884305121
946,-77.34068561379559
947,-81.17256920753063
948,-86.1530552810229
949,-93.22037705538932
950,-84.51889798445211
951,-76.73157270300489
952,-85.9914061522202
953,-69.25834942178078
954,-89.26039022085857
955,-71.74385544919411
956,-82.03146776109531
957,-98.71012833318022
958,-78.98178782968496
959,-93.74348432226078
960,-80.87965046984571
961,-81.51311404910504
962,-82.30303585058225
963,-83.37711133401669
964,-80.11242979036797
965,-84.83091589385143
966,-87.2894830254493
967,-82.64567247526682
968,-92.27800978522204
969,-89.08369437018084
970,-84.58931090279619
971,-90.71689483376154
972,-73.78628544943659
973,-76.97134668816628
974,-80.81164294533801
975,-80.43720401012456
976,-88.11543881868994
977,-84.25097809600618
978,-83.14212170097265
979,-77.23127850400428
980,-84.4798846230499
981,-83.32945224724702
982,-90.93579290586496
983,-76.31950025430574
984,-71.5610986455991
985,-76.66918382278517
986,-81.46041563800469
987,-78.73867179590411
988,-85.36755527501079
989,-93.08316529502186
990,-82.08042381652135
991,-84.11484682571201
992,-83.9886351124286
993,-94.23287406232804
994,-95.45747933970362
995,-79.2250747098437
996,-76.91430244832345
997,-79.03719025633211
998,-85.40547651100702
999,-83.04879629284261
1000,-75.85024954992176
1001,-83.08770830262921
1002,-74.2409710864453
1003,-78.88306753729354
1004,-75.42162744809578
1005,-77.70627021997552
